charger_id,station_id,station_type,charger_type,power_kw,connector_type,availability_rate
ST0001-C01,ST0001,Office_Commercial,DC_Fast,50,CCS2,0.9717
ST0001-C02,ST0001,Office_Commercial,AC,22,Type2,0.9652
ST0001-C03,ST0001,Office_Commercial,DC_Fast,60,CCS2,0.9684
ST0001-C04,ST0001,Office_Commercial,DC_Fast,50,CCS2,0.9677
ST0001-C05,ST0001,Office_Commercial,AC,7,Type2,0.9717
ST0001-C06,ST0001,Office_Commercial,DC_Ultra,150,CCS2,0.9632
ST0001-C07,ST0001,Office_Commercial,DC_Fast,50,CCS2,0.9745
ST0001-C08,ST0001,Office_Commercial,DC_Fast,60,CCS2,0.9613
ST0001-C09,ST0001,Office_Commercial,AC,7,Type2,0.969
ST0002-C01,ST0002,Office_Commercial,AC,11,Type2,0.9491
ST0002-C02,ST0002,Office_Commercial,AC,22,Type2,0.9616
ST0002-C03,ST0002,Office_Commercial,DC_Fast,60,CCS2,0.9463
ST0002-C04,ST0002,Office_Commercial,DC_Fast,50,CCS2,0.9504
ST0002-C05,ST0002,Office_Commercial,DC_Ultra,180,CCS2,0.9566
ST0002-C06,ST0002,Office_Commercial,AC,7,Type2,0.9627
ST0002-C07,ST0002,Office_Commercial,AC,7,Type2,0.9611
ST0002-C08,ST0002,Office_Commercial,DC_Fast,30,CCS2,0.958
ST0002-C09,ST0002,Office_Commercial,AC,22,Type2,0.944
ST0002-C10,ST0002,Office_Commercial,AC,22,Type2,0.9519
ST0003-C01,ST0003,Fleet,DC_Fast,50,CCS2,0.9793
ST0003-C02,ST0003,Fleet,DC_Fast,50,CCS2,0.9708
ST0003-C03,ST0003,Fleet,DC_Fast,50,CCS2,0.9805
ST0003-C04,ST0003,Fleet,DC_Fast,50,CCS2,0.9634
ST0003-C05,ST0003,Fleet,DC_Fast,50,CCS2,0.9662
ST0003-C06,ST0003,Fleet,DC_Fast,50,CCS2,0.9747
ST0003-C07,ST0003,Fleet,DC_Ultra,150,CCS2,0.9702
ST0003-C08,ST0003,Fleet,DC_Fast,60,CCS2,0.9786
ST0004-C01,ST0004,Highway,DC_Fast,50,CCS2,0.9587
ST0004-C02,ST0004,Highway,DC_Ultra,150,CCS2,0.9486
ST0004-C03,ST0004,Highway,DC_Fast,30,CCS2,0.9515
ST0004-C04,ST0004,Highway,AC,22,Type2,0.9653
ST0004-C05,ST0004,Highway,AC,22,Type2,0.9591
ST0004-C06,ST0004,Highway,DC_Ultra,180,CCS2,0.9592
ST0004-C07,ST0004,Highway,DC_Fast,60,CCS2,0.9546
ST0004-C08,ST0004,Highway,DC_Fast,50,CCS2,0.9545
ST0004-C09,ST0004,Highway,DC_Fast,60,CCS2,0.9688
ST0004-C10,ST0004,Highway,DC_Fast,50,CCS2,0.9656
ST0004-C11,ST0004,Highway,DC_Ultra,150,CCS2,0.9573
ST0004-C12,ST0004,Highway,DC_Fast,60,CCS2,0.9627
ST0005-C01,ST0005,Hotel,DC_Fast,30,CCS2,0.956
ST0005-C02,ST0005,Hotel,AC,7,Type2,0.9655
ST0005-C03,ST0005,Hotel,DC_Fast,50,CCS2,0.9575
ST0005-C04,ST0005,Hotel,DC_Fast,30,CCS2,0.9451
ST0005-C05,ST0005,Hotel,DC_Fast,30,CCS2,0.9472
ST0006-C01,ST0006,Hotel,DC_Fast,30,CCS2,0.995
ST0006-C02,ST0006,Hotel,AC,11,Type2,0.9858
ST0006-C03,ST0006,Hotel,DC_Fast,50,CCS2,0.9654
ST0006-C04,ST0006,Hotel,AC,7,Type2,0.976
ST0006-C05,ST0006,Hotel,DC_Ultra,150,CCS2,0.9776
ST0006-C06,ST0006,Hotel,AC,7,Type2,0.991
ST0006-C07,ST0006,Hotel,DC_Fast,60,CCS2,0.9812
ST0007-C01,ST0007,Office_Commercial,DC_Fast,30,CCS2,0.9503
ST0007-C02,ST0007,Office_Commercial,AC,11,Type2,0.9495
ST0007-C03,ST0007,Office_Commercial,DC_Fast,60,CCS2,0.9489
ST0007-C04,ST0007,Office_Commercial,AC,22,Type2,0.9592
