station_id,city,station_type,charger_count,avg_daily_capacity_kwh,baseline_utilization,peak_demand_factor,operational_reliability
ST0001,Delhi NCR,Office_Commercial,9,1042.6,0.3173,1.3539,0.9647
ST0002,Delhi NCR,Office_Commercial,10,1251.3,0.284,1.2336,0.9557
ST0003,Delhi NCR,Fleet,8,710.71,0.2364,1.2348,0.9736
ST0004,Delhi NCR,Highway,12,1219.26,0.2532,0.9058,0.9621
ST0005,Delhi NCR,Hotel,5,503.95,0.4361,0.9309,0.9546
ST0006,Delhi NCR,Hotel,7,610.58,0.3532,1.0587,0.9825
ST0007,Delhi NCR,Office_Commercial,10,1090.53,0.2687,1.1988,0.9561
ST0008,Delhi NCR,Residential,4,511.71,0.2574,1.2008,0.9667
ST0009,Delhi NCR,Fleet,10,1045.35,0.3588,1.2671,0.995
ST0010,Delhi NCR,Mall_Retail,9,840.14,0.3649,1.0208,0.938
ST0011,Delhi NCR,Hotel,8,970.52,0.3151,0.901,0.9679
ST0012,Delhi NCR,Highway,10,854.29,0.3494,0.8873,0.9545
ST0013,Delhi NCR,Mall_Retail,10,853.87,0.3368,1.2414,0.972
ST0014,Delhi NCR,Residential,8,861.94,0.31,1.0552,0.9555
ST0015,Delhi NCR,Fleet,11,1404.09,0.2907,1.2671,0.9565
ST0016,Delhi NCR,Mall_Retail,8,1014.42,0.3631,1.0875,0.9694
ST0017,Delhi NCR,Highway,9,1121.25,0.3127,0.802,0.9508
ST0018,Delhi NCR,Highway,9,953.49,0.4347,0.9128,0.9682
ST0019,Mumbai,Hotel,6,508.34,0.3492,0.9171,0.9866
ST0020,Mumbai,Residential,6,552.29,0.4281,1.1647,0.9516
ST0021,Mumbai,Mall_Retail,6,659.81,0.4394,1.0856,0.9643
ST0022,Mumbai,Transit_Public,6,771.55,0.2696,0.9784,0.9796
ST0023,Mumbai,Hotel,6,519.55,0.3262,0.977,0.9911
ST0024,Mumbai,Residential,7,802.99,0.3746,0.986,0.9693
ST0025,Mumbai,Highway,14,1637.29,0.2833,0.8733,0.9837
ST0026,Mumbai,Residential,8,835.43,0.3378,1.1113,0.9651
ST0027,Mumbai,Office_Commercial,9,731.19,0.4162,1.2376,0.9596
ST0028,Mumbai,Mall_Retail,10,870.17,0.3505,1.1141,0.9537
ST0029,Mumbai,Office_Commercial,11,1322.4,0.487,1.4,0.9572
ST0030,Mumbai,Residential,6,512.74,0.2482,1.1027,0.9747
ST0031,Mumbai,Residential,6,661.8,0.2968,0.9782,0.9676
ST0032,Mumbai,Office_Commercial,11,1357.12,0.3042,1.1799,0.9686
ST0033,Mumbai,Residential,5,604.14,0.4638,1.047,0.9535
ST0034,Mumbai,Residential,7,611.16,0.5103,1.0563,0.9645
ST0035,Mumbai,Mall_Retail,7,617.94,0.2768,1.0804,0.9817
ST0036,Mumbai,Highway,15,1215.86,0.3134,0.8893,0.9494
ST0037,Bengaluru,Hotel,7,798.25,0.3579,0.9056,0.9771
ST0038,Bengaluru,Mall_Retail,6,742.5,0.3533,1.1281,0.9708
ST0039,Bengaluru,Fleet,13,1411.3,0.363,1.1922,0.995
ST0040,Bengaluru,Highway,15,1825.09,0.3672,0.839,0.9533
ST0041,Bengaluru,Office_Commercial,6,750.8,0.3728,1.1104,0.9839
ST0042,Bengaluru,Hotel,4,448.5,0.2774,0.9123,0.974
ST0043,Bengaluru,Residential,8,983.03,0.3378,1.1298,0.9723
ST0044,Bengaluru,Fleet,13,1213.2,0.19,1.1811,0.9726
ST0045,Bengaluru,Highway,8,787.0,0.2386,0.9262,0.995
ST0046,Bengaluru,Residential,4,457.15,0.3958,1.1237,0.9691
ST0047,Bengaluru,Office_Commercial,7,674.93,0.422,1.2966,0.995
ST0048,Bengaluru,Office_Commercial,8,961.76,0.3703,1.3895,0.9766
ST0049,Bengaluru,Hotel,6,540.72,0.348,0.8942,0.9848
ST0050,Bengaluru,Mall_Retail,9,762.79,0.3909,1.0847,0.9876
ST0051,Bengaluru,Mall_Retail,10,1279.44,0.3878,0.9742,0.969
