city,customers,avg_peak_share,avg_flexibility,eligible_customers,total_energy_kwh,eligible_share
Delhi NCR,968,0.31382454095533086,66.41580578512396,249,3334120.06,0.2572314049586777
Bengaluru,970,0.3105822919740051,66.60762886597938,209,3268759.91,0.2154639175257732
Mumbai,934,0.3119820165480106,66.38222698072805,195,3072323.05,0.20877944325481798
Pune,757,0.3117338138966953,66.44108322324968,172,2474484.75,0.22721268163804492
Chennai,721,0.31468649289681666,66.37087378640777,166,2480004.11,0.2302357836338419
Hyderabad,774,0.31078713501390065,66.51614987080103,161,2717435.37,0.20801033591731266
Kolkata,526,0.31449552782224416,66.24942965779466,130,1821306.4,0.24714828897338403
Lucknow,475,0.31270202760469956,66.36315789473684,126,1531876.03,0.26526315789473687
Chandigarh,426,0.3128602130841769,66.5075117370892,115,1396035.57,0.2699530516431925
Ahmedabad,557,0.30948708087991034,66.54883303411131,109,1912195.5,0.19569120287253142
Jaipur,457,0.30902162949763434,66.7253829321663,102,1578555.8,0.22319474835886213
Kochi,435,0.30840561432875435,66.63793103448276,89,1414791.34,0.2045977011494253
