city,stations,chargers,avg_baseline_utilization,avg_operational_reliability,avg_peak_demand_factor,sessions,energy_kwh,completion_rate,sessions_per_charger,energy_per_charger
Ahmedabad,10,88,0.24815,0.96581,1.1058299999999999,76712,1912195.5,0.9815804567733861,871.7272727272727,21729.49431818182
Bengaluru,18,157,0.3409222222222222,0.9774833333333333,1.0835333333333332,131459,3268759.91,0.983751587947573,837.3184713375796,20820.126815286625
Chandigarh,8,84,0.24612499999999998,0.9641125,0.9877374999999999,56059,1396035.5699999998,0.9810913501846269,667.3690476190476,16619.47107142857
Chennai,14,134,0.30400714285714286,0.9695928571428573,1.1685,100106,2480004.1100000003,0.9828881385731125,747.0597014925373,18507.493358208958
Delhi NCR,18,157,0.32458333333333333,0.9635444444444445,1.086638888888889,132483,3334120.0599999996,0.9821184604817221,843.8407643312102,21236.43350318471
Hyderabad,14,126,0.3203714285714286,0.9726785714285714,1.0893071428571428,109624,2717435.37,0.9826771509888346,870.031746031746,21566.94738095238
Jaipur,9,70,0.2379111111111111,0.969488888888889,1.0640222222222222,63174,1578555.8,0.982777725013455,902.4857142857143,22550.797142857144
Kochi,8,75,0.2147125,0.9736875,1.182425,58244,1414791.3399999999,0.9832257399903853,776.5866666666667,18863.88453333333
Kolkata,10,92,0.27422,0.96312,1.07046,72006,1821306.4000000001,0.9829458656223092,782.6739130434783,19796.808695652177
Lucknow,9,93,0.27197777777777776,0.9669666666666666,1.0782333333333334,63122,1531876.03,0.9816228890085865,678.7311827956989,16471.785268817206
Mumbai,18,146,0.3597444444444444,0.9678777777777778,1.0654944444444443,124132,3072323.05,0.9823333225920794,850.2191780821918,21043.308561643833
Pune,14,129,0.3013857142857143,0.9729785714285715,1.094757142857143,100141,2474484.75,0.9824846965778252,776.2868217054264,19182.052325581397
