city,sessions,completed_sessions,energy_kwh,completion_rate,energy_mwh
Delhi NCR,132483,130114,3334120.0599999996,0.9821184604817221,3334.1200599999997
Bengaluru,131459,129323,3268759.91,0.983751587947573,3268.75991
Mumbai,124132,121939,3072323.05,0.9823333225920794,3072.32305
Hyderabad,109624,107725,2717435.37,0.9826771509888346,2717.43537
Pune,100141,98387,2474484.75,0.9824846965778252,2474.48475
Chennai,100106,98393,2480004.1100000003,0.9828881385731125,2480.0041100000003
Ahmedabad,76712,75299,1912195.5,0.9815804567733861,1912.1955
Kolkata,72006,70778,1821306.4000000001,0.9829458656223092,1821.3064000000002
Jaipur,63174,62086,1578555.8,0.982777725013455,1578.5558
Lucknow,63122,61962,1531876.03,0.9816228890085865,1531.8760300000001
Kochi,58244,57267,1414791.3399999999,0.9832257399903853,1414.7913399999998
Chandigarh,56059,54999,1396035.5699999998,0.9810913501846269,1396.0355699999998
