customer_id,customer_segment,city,total_sessions,total_energy_kwh,avg_energy_kwh,avg_duration_minutes,peak_sessions,peak_share,off_peak_share,weekend_share,time_diversity_score,flexibility_score,flexibility_category,peak_dependence,behavioural_confidence,intervention_eligible,intervention_priority
CUST00001,Price_Sensitive,Lucknow,141,3689.83,26.16900709219858,91.95035460992908,36,0.2553191489361702,0.7446808510638299,0.2978723404255319,89.22105911286464,70.0,High Flexibility,Low Peak Dependence,High,False,Not Eligible
CUST00002,Price_Sensitive,Pune,121,2157.48,17.830413223140496,73.03305785123968,32,0.2644628099173554,0.7355371900826446,0.256198347107438,87.8350020903852,68.3,High Flexibility,Low Peak Dependence,High,False,Not Eligible
CUST00003,High_Mileage,Delhi NCR,429,12496.2,29.12867132867133,54.163170163170165,127,0.29603729603729606,0.7039627039627039,0.30536130536130535,93.40497461983516,69.3,High Flexibility,Low Peak Dependence,High,False,Not Eligible
CUST00004,Routine_Commuter,Chennai,105,2366.55,22.53857142857143,77.9047619047619,45,0.42857142857142855,0.5714285714285714,0.2761904761904762,85.15636217496984,59.6,Moderate Flexibility,Moderate Peak Dependence,High,False,Not Eligible
CUST00005,Convenience_First,Mumbai,112,2326.82,20.775178571428572,74.98214285714286,36,0.32142857142857145,0.6785714285714286,0.2767857142857143,83.49057615417371,64.5,Moderate Flexibility,Low Peak Dependence,High,False,Not Eligible
CUST00006,Price_Sensitive,Lucknow,50,1356.18,27.1236,87.34,13,0.26,0.74,0.22,84.37349421627972,66.7,High Flexibility,Low Peak Dependence,High,False,Not Eligible
CUST00007,Price_Sensitive,Jaipur,140,3380.43,24.14592857142857,90.59285714285714,56,0.4,0.6,0.2785714285714286,90.80881838397434,62.8,Moderate Flexibility,Moderate Peak Dependence,High,True,Low Priority
CUST00008,Convenience_First,Chennai,103,2620.81,25.444757281553397,64.89320388349515,27,0.2621359223300971,0.7378640776699029,0.22330097087378642,89.15995339746301,68.1,High Flexibility,Low Peak Dependence,High,False,Not Eligible
CUST00009,Price_Sensitive,Kolkata,55,926.24,16.84072727272727,70.05454545454545,6,0.10909090909090909,0.8909090909090909,0.23636363636363636,77.8897247197477,72.6,High Flexibility,Low Peak Dependence,High,False,Not Eligible
CUST00010,Routine_Commuter,Bengaluru,106,2498.24,23.56830188679245,76.06603773584905,28,0.2641509433962264,0.7358490566037736,0.18867924528301888,90.452467594896,67.7,High Flexibility,Low Peak Dependence,High,False,Not Eligible
CUST00011,Routine_Commuter,Chennai,130,2856.13,21.97023076923077,82.04615384615384,43,0.33076923076923076,0.6692307692307693,0.2923076923076923,90.23105423045156,66.4,High Flexibility,Moderate Peak Dependence,High,False,Not Eligible
CUST00012,Price_Sensitive,Delhi NCR,86,2184.4,25.400000000000002,78.67441860465117,19,0.22093023255813954,0.7790697674418605,0.2441860465116279,89.6206283389741,70.7,High Flexibility,Low Peak Dependence,High,False,Not Eligible
CUST00013,Price_Sensitive,Bengaluru,79,2067.9,26.17594936708861,79.0506329113924,18,0.22784810126582278,0.7721518987341772,0.2911392405063291,91.40303659906098,71.9,High Flexibility,Low Peak Dependence,High,False,Not Eligible
