customer_id,customer_segment_x,total_sessions,peak_sessions,peak_share,total_energy_kwh,avg_energy_kwh,flexibility_score,eligible_for_intervention,intervention_score,priority_band,city,experiment_group,incentive_rate,intervention,base_response_probability,response_probability,responded,shifted_peak_sessions,post_peak_sessions,demand_shift_rate
CUST01186,High_Mileage,481,172,0.3575883575883576,12054.74,25.061829521829523,66.2,True,60.58853430353431,Medium,Kochi,Control,0.0,No Incentive,0.45,0.4824,False,0,172,0.0
CUST03288,High_Mileage,568,201,0.3538732394366197,12298.49,21.652271126760564,65.8,True,60.457429577464794,Medium,Hyderabad,Treatment,0.15,Off-Peak Incentive,0.45,0.48160000000000003,False,0,201,0.0
CUST05705,High_Mileage,449,161,0.3585746102449889,15208.53,33.872004454342985,65.8,True,60.29548440979955,Medium,Delhi NCR,Control,0.0,No Incentive,0.45,0.48160000000000003,False,0,161,0.0
CUST06073,High_Mileage,502,159,0.3167330677290836,17748.08,35.35474103585658,69.3,True,60.29057270916334,Medium,Chennai,Control,0.0,No Incentive,0.45,0.48860000000000003,False,0,159,0.0
CUST03013,High_Mileage,572,201,0.3513986013986014,16223.21,28.362255244755243,65.6,True,60.28344405594406,Medium,Mumbai,Treatment,0.15,Off-Peak Incentive,0.45,0.4812,True,116,85,0.5771144278606966
CUST06920,High_Mileage,443,148,0.3340857787810384,14252.39,32.17243792325056,68.3,True,60.28218115124154,Medium,Kochi,Control,0.0,No Incentive,0.45,0.48660000000000003,False,0,148,0.0
CUST05223,High_Mileage,441,155,0.3514739229024943,6639.91,15.056485260770977,66.6,True,60.27895691609977,Medium,Delhi NCR,Control,0.0,No Incentive,0.45,0.4832,False,0,155,0.0
CUST05568,High_Mileage,559,179,0.3202146690518783,17537.6,31.373166368515204,68.7,True,60.26233676207514,Medium,Chandigarh,Control,0.0,No Incentive,0.45,0.4874,False,0,179,0.0
CUST04791,High_Mileage,462,162,0.3506493506493506,13407.29,29.020108225108228,66.2,True,60.21347402597402,Medium,Kolkata,Treatment,0.15,Off-Peak Incentive,0.45,0.4824,True,94,68,0.5802469135802469
CUST00082,High_Mileage,432,151,0.349537037037037,11770.34,27.24615740740741,66.8,True,60.20148148148148,Medium,Ahmedabad,Treatment,0.15,Off-Peak Incentive,0.45,0.48360000000000003,False,0,151,0.0
CUST05738,High_Mileage,474,161,0.339662447257384,11178.37,23.58305907172996,67.1,True,60.19649789029536,Medium,Hyderabad,Treatment,0.15,Off-Peak Incentive,0.45,0.4842,True,94,67,0.5838509316770186
CUST00713,High_Mileage,483,146,0.3022774327122153,16375.56,33.90385093167702,70.7,True,60.18859730848861,Medium,Pune,Control,0.0,No Incentive,0.45,0.4914,False,0,146,0.0
CUST00594,High_Mileage,471,162,0.3439490445859872,8460.08,17.96195329087049,66.7,True,60.18796178343949,Medium,Mumbai,Control,0.0,No Incentive,0.45,0.4834,False,0,162,0.0
CUST00910,High_Mileage,468,156,0.3333333333333333,18429.28,39.378803418803415,67.8,True,60.187083333333334,Medium,Pune,Control,0.0,No Incentive,0.45,0.48560000000000003,False,0,156,0.0
CUST00791,High_Mileage,476,170,0.3571428571428571,13668.4,28.715126050420167,65.2,True,60.15196428571429,Medium,Mumbai,Treatment,0.15,Off-Peak Incentive,0.45,0.4804,False,0,170,0.0
CUST06124,High_Mileage,435,145,0.3333333333333333,12873.13,29.593402298850577,68.1,True,60.11083333333333,Medium,Mumbai,Treatment,0.15,Off-Peak Incentive,0.45,0.4862,True,86,59,0.593103448275862
CUST02019,High_Mileage,426,146,0.3427230046948357,16865.23,39.58974178403756,67.3,True,60.09017018779343,Medium,Jaipur,Control,0.0,No Incentive,0.45,0.48460000000000003,False,0,146,0.0
CUST00987,High_Mileage,474,159,0.3354430379746835,13962.98,29.45776371308017,67.2,True,60.06772151898735,Medium,Bengaluru,Treatment,0.15,Off-Peak Incentive,0.45,0.4844,False,0,159,0.0
CUST01986,High_Mileage,538,178,0.3308550185873606,21709.1,40.35148698884758,67.2,True,60.06170074349443,Medium,Pune,Control,0.0,No Incentive,0.45,0.4844,False,0,178,0.0
CUST07718,High_Mileage,464,152,0.3275862068965517,11966.25,25.78933189655172,68.1,True,60.05594827586208,Medium,Chennai,Control,0.0,No Incentive,0.45,0.4862,False,0,152,0.0
CUST07708,High_Mileage,487,154,0.3162217659137577,19869.83,40.80047227926078,68.9,True,60.053870636550315,Medium,Lucknow,Control,0.0,No Incentive,0.45,0.4878,False,0,154,0.0
CUST06258,High_Mileage,545,180,0.3302752293577982,10547.7,19.353577981651377,67.2,True,60.04600917431193,Medium,Mumbai,Treatment,0.15,Off-Peak Incentive,0.45,0.4844,True,105,75,0.5833333333333334
CUST02128,High_Mileage,555,182,0.3279279279279279,19111.57,34.43526126126126,67.4,True,60.04461711711712,Medium,Hyderabad,Control,0.0,No Incentive,0.45,0.4848,False,0,182,0.0
CUST01899,High_Mileage,426,141,0.3309859154929577,14953.42,35.101924882629106,68.3,True,60.02068661971832,Medium,Ahmedabad,Control,0.0,No Incentive,0.45,0.48660000000000003,False,0,141,0.0
CUST04290,High_Mileage,482,161,0.3340248962655601,9899.15,20.53765560165975,67.1,True,60.01099585062241,Medium,Hyderabad,Control,0.0,No Incentive,0.45,0.4842,False,0,161,0.0
CUST00405,High_Mileage,469,164,0.3496801705756929,18067.71,38.52390191897654,65.7,True,60.00470682302772,Medium,Kolkata,Treatment,0.15,Off-Peak Incentive,0.45,0.4814,True,95,69,0.5792682926829268
CUST06145,High_Mileage,461,155,0.3362255965292842,14153.85,30.702494577006508,67.1,True,59.99027386117137,Medium,Bengaluru,Treatment,0.15,Off-Peak Incentive,0.45,0.4842,True,91,64,0.5870967741935483
CUST04318,High_Mileage,392,140,0.3571428571428571,5913.67,15.085892857142856,66.4,True,59.95821428571429,Medium,Bengaluru,Treatment,0.15,Off-Peak Incentive,0.45,0.4828,True,81,59,0.5785714285714286
CUST02812,High_Mileage,441,136,0.3083900226757369,9297.68,21.083174603174605,70.1,True,59.95560090702948,Medium,Ahmedabad,Treatment,0.15,Off-Peak Incentive,0.45,0.4902,True,82,54,0.6029411764705882
CUST07033,High_Mileage,404,134,0.3316831683168317,14040.93,34.754777227722776,68.6,True,59.94607673267326,Medium,Kochi,Control,0.0,No Incentive,0.45,0.4872,False,0,134,0.0
CUST02684,High_Mileage,434,136,0.3133640552995391,9180.06,21.15221198156682,69.7,True,59.93956221198157,Medium,Bengaluru,Control,0.0,No Incentive,0.45,0.4894,False,0,136,0.0
CUST00926,High_Mileage,461,159,0.3449023861171366,11513.38,24.974793926247287,66.1,True,59.93734544468546,Medium,Mumbai,Control,0.0,No Incentive,0.45,0.4822,False,0,159,0.0
CUST04724,High_Mileage,472,155,0.3283898305084746,12557.34,26.604533898305085,67.6,True,59.93559322033899,Medium,Chennai,Treatment,0.15,Off-Peak Incentive,0.45,0.4852,False,0,155,0.0
CUST05229,High_Mileage,493,157,0.3184584178498986,16485.45,33.43904665314402,68.3,True,59.92833671399595,Medium,Kolkata,Treatment,0.15,Off-Peak Incentive,0.45,0.48660000000000003,True,93,64,0.5923566878980892
CUST03782,High_Mileage,521,163,0.3128598848368522,10825.15,20.777639155470247,68.7,True,59.9256453934741,Medium,Ahmedabad,Treatment,0.15,Off-Peak Incentive,0.45,0.4874,True,97,66,0.5950920245398773
CUST01451,High_Mileage,483,160,0.3312629399585921,10159.58,21.034327122153208,67.1,True,59.90801759834368,Medium,Hyderabad,Treatment,0.15,Off-Peak Incentive,0.45,0.4842,True,94,66,0.5875
CUST07208,High_Mileage,390,148,0.3794871794871794,14753.36,37.82912820512821,64.1,True,59.906987179487174,Medium,Pune,Treatment,0.15,Off-Peak Incentive,0.45,0.4782,True,84,64,0.5675675675675675
CUST02347,High_Mileage,476,158,0.3319327731092437,18960.15,39.83224789915967,67.1,True,59.90356092436975,Medium,Ahmedabad,Treatment,0.15,Off-Peak Incentive,0.45,0.4842,False,0,158,0.0
CUST03786,High_Mileage,556,178,0.3201438848920863,12420.31,22.338687050359713,67.8,True,59.89575539568345,Medium,Lucknow,Treatment,0.15,Off-Peak Incentive,0.45,0.48560000000000003,False,0,178,0.0
CUST02539,High_Mileage,484,155,0.3202479338842975,14573.87,30.111301652892564,68.1,True,59.8799173553719,Medium,Bengaluru,Control,0.0,No Incentive,0.45,0.4862,False,0,155,0.0
CUST00516,High_Mileage,454,146,0.3215859030837004,12119.4,26.694713656387663,68.4,True,59.87968612334802,Medium,Jaipur,Treatment,0.15,Off-Peak Incentive,0.45,0.4868,True,86,60,0.589041095890411
CUST04712,High_Mileage,485,160,0.3298969072164948,20550.88,42.37294845360825,67.1,True,59.8746262886598,Medium,Delhi NCR,Control,0.0,No Incentive,0.45,0.4842,False,0,160,0.0
CUST04166,High_Mileage,548,174,0.3175182481751825,12527.61,22.860602189781023,68.0,True,59.860729927007306,Medium,Delhi NCR,Control,0.0,No Incentive,0.45,0.486,False,0,174,0.0
CUST01010,High_Mileage,509,154,0.3025540275049116,15884.07,31.206424361493124,69.6,True,59.85091110019647,Medium,Kolkata,Treatment,0.15,Off-Peak Incentive,0.45,0.4892,False,0,154,0.0
CUST04467,High_Mileage,445,140,0.3146067415730337,11790.74,26.496044943820223,69.1,True,59.84051966292135,Medium,Pune,Control,0.0,No Incentive,0.45,0.4882,False,0,140,0.0
CUST01717,High_Mileage,489,159,0.3251533742331288,8114.79,16.594662576687117,67.4,True,59.824884969325154,Medium,Chennai,Control,0.0,No Incentive,0.45,0.4848,False,0,159,0.0
CUST03962,High_Mileage,498,153,0.3072289156626506,17350.21,34.83977911646586,69.1,True,59.81915662650603,Medium,Pune,Treatment,0.15,Off-Peak Incentive,0.45,0.4882,False,0,153,0.0
CUST06761,High_Mileage,484,161,0.3326446280991735,8427.13,17.41142561983471,66.7,True,59.81578512396695,Medium,Jaipur,Treatment,0.15,Off-Peak Incentive,0.45,0.4834,False,0,161,0.0
CUST07878,High_Mileage,554,168,0.3032490974729241,15332.66,27.676281588447655,69.3,True,59.81496389891697,Medium,Chandigarh,Control,0.0,No Incentive,0.45,0.48860000000000003,False,0,168,0.0
CUST07301,High_Mileage,438,142,0.3242009132420091,10896.99,24.87897260273973,68.2,True,59.80928652968037,Medium,Chandigarh,Treatment,0.15,Off-Peak Incentive,0.45,0.4864,True,84,58,0.5915492957746479
CUST03950,High_Mileage,423,139,0.3286052009456264,9868.83,23.330567375886524,68.0,True,59.780458037825056,Medium,Ahmedabad,Treatment,0.15,Off-Peak Incentive,0.45,0.486,True,82,57,0.5899280575539568
CUST01068,High_Mileage,428,153,0.3574766355140187,10335.9,24.14929906542056,65.0,True,59.77531542056075,Medium,Delhi NCR,Treatment,0.15,Off-Peak Incentive,0.45,0.48,True,88,65,0.5751633986928104
CUST03450,High_Mileage,529,176,0.332703213610586,6529.82,12.343705103969754,66.3,True,59.77187854442344,Medium,Hyderabad,Control,0.0,No Incentive,0.45,0.48260000000000003,False,0,176,0.0
CUST02004,High_Mileage,438,156,0.3561643835616438,13407.25,30.610159817351597,64.9,True,59.76782534246576,Medium,Pune,Control,0.0,No Incentive,0.45,0.4798,False,0,156,0.0
CUST03646,High_Mileage,495,157,0.3171717171717171,14273.41,28.83517171717172,68.0,True,59.76311868686869,Medium,Lucknow,Control,0.0,No Incentive,0.45,0.486,False,0,157,0.0
CUST04002,High_Mileage,510,175,0.3431372549019608,13569.32,26.60650980392157,65.3,True,59.75924019607843,Medium,Lucknow,Control,0.0,No Incentive,0.45,0.4806,False,0,175,0.0
CUST01656,High_Mileage,407,144,0.3538083538083538,12126.47,29.794766584766585,65.8,True,59.738584152334155,Medium,Bengaluru,Treatment,0.15,Off-Peak Incentive,0.45,0.48160000000000003,False,0,144,0.0
CUST03276,High_Mileage,410,140,0.3414634146341463,9866.93,24.06568292682927,66.9,True,59.73603658536586,Medium,Ahmedabad,Control,0.0,No Incentive,0.45,0.4838,False,0,140,0.0
CUST07880,High_Mileage,456,151,0.3311403508771929,10053.4,22.046929824561403,67.0,True,59.71561403508772,Medium,Delhi NCR,Treatment,0.15,Off-Peak Incentive,0.45,0.484,False,0,151,0.0
CUST07922,High_Mileage,573,180,0.3141361256544502,16868.97,29.43973821989529,67.9,True,59.71544502617802,Medium,Chennai,Treatment,0.15,Off-Peak Incentive,0.45,0.4858,True,106,74,0.5888888888888889
CUST07712,High_Mileage,451,160,0.3547671840354767,11049.66,24.500354767184035,64.7,True,59.711937361419075,Medium,Lucknow,Control,0.0,No Incentive,0.45,0.4794,False,0,160,0.0
CUST07146,High_Mileage,550,167,0.3036363636363636,16343.21,29.71492727272727,69.0,True,59.707954545454555,Medium,Chennai,Treatment,0.15,Off-Peak Incentive,0.45,0.488,True,99,68,0.592814371257485
CUST01907,High_Mileage,401,144,0.3591022443890274,9159.98,22.84284289276808,65.3,True,59.695339775561095,Medium,Chennai,Control,0.0,No Incentive,0.45,0.4806,False,0,144,0.0
CUST05375,High_Mileage,435,137,0.3149425287356321,16565.92,38.08257471264368,68.9,True,59.69520114942529,Medium,Delhi NCR,Control,0.0,No Incentive,0.45,0.4878,False,0,137,0.0
CUST07508,High_Mileage,495,158,0.3191919191919192,18617.88,37.61187878787879,67.6,True,59.683926767676766,Medium,Bengaluru,Control,0.0,No Incentive,0.45,0.4852,False,0,158,0.0
CUST06557,High_Mileage,445,144,0.3235955056179775,10220.06,22.966426966292133,67.8,True,59.6800702247191,Medium,Ahmedabad,Control,0.0,No Incentive,0.45,0.48560000000000003,False,0,144,0.0
CUST02788,High_Mileage,425,141,0.3317647058823529,11503.44,27.066917647058823,67.4,True,59.679338235294125,Medium,Mumbai,Control,0.0,No Incentive,0.45,0.4848,False,0,141,0.0
CUST02825,High_Mileage,430,143,0.3325581395348837,11598.79,26.973930232558143,67.2,True,59.67607558139535,Medium,Bengaluru,Treatment,0.15,Off-Peak Incentive,0.45,0.4844,False,0,143,0.0
CUST00891,High_Mileage,423,150,0.3546099290780142,16239.56,38.391394799054375,65.1,True,59.66064716312057,Medium,Bengaluru,Treatment,0.15,Off-Peak Incentive,0.45,0.4802,False,0,150,0.0
CUST03924,High_Mileage,465,143,0.3075268817204301,14181.19,30.49718279569893,69.1,True,59.6598252688172,Medium,Bengaluru,Treatment,0.15,Off-Peak Incentive,0.45,0.4882,True,85,58,0.5944055944055944
