city,customers,eligible_customers,eligible_share,avg_intervention_score,avg_flexibility,peak_sessions,estimated_shiftable_peak_sessions,shiftable_share,priority_score,city_rank
Delhi NCR,968,580,0.5991735537190083,49.245275026642986,66.41580578512396,40645,27069.453,0.6659971214171485,49.245275026642986,1
Chennai,721,436,0.6047156726768377,49.22262615137891,66.37087378640777,30619,20427.643,0.6671557856233058,49.22262615137891,2
Jaipur,457,255,0.5579868708971554,49.20785369194039,66.7253829321663,19187,12824.998,0.6684212227028717,49.20785369194039,3
Hyderabad,774,437,0.5645994832041343,49.18623669254568,66.51614987080103,33407,22292.521,0.6673008950220014,49.18623669254568,4
Bengaluru,970,569,0.5865979381443299,49.08859193669217,66.60762886597938,40182,26818.814,0.667433527450102,49.08859193669217,5
Kolkata,526,316,0.6007604562737643,49.074471778289,66.24942965779466,22067,14674.287,0.6649878551683509,49.074471778289,6
Mumbai,934,537,0.5749464668094219,49.06775228932942,66.38222698072805,37936,25239.548,0.6653191691269507,49.06775228932942,7
Kochi,435,235,0.5402298850574713,49.052830894989256,66.63793103448276,17648,11788.515,0.6679802243880326,49.052830894989256,8
Lucknow,475,283,0.5957894736842105,48.9120100515564,66.36315789473684,19294,12838.991,0.6654395667046751,48.9120100515564,9
Chandigarh,426,250,0.5868544600938967,48.88422953275675,66.5075117370892,17081,11386.503,0.666618055148996,48.88422953275675,10
Pune,757,438,0.5785997357992074,48.82115242376742,66.44108322324968,30620,20392.343,0.6659811561071196,48.82115242376742,11
Ahmedabad,557,325,0.5834829443447038,48.81353619749444,66.54883303411131,23193,15517.91,0.6690773078083905,48.81353619749444,12
