customer_id,customer_segment_x,total_sessions,peak_sessions,peak_share,total_energy_kwh,avg_energy_kwh,flexibility_score,eligible_for_intervention,intervention_score,priority_band
CUST01186,High_Mileage,481,172,0.3575883575883576,12054.74,25.061829521829523,66.2,True,60.58853430353431,Medium
CUST03288,High_Mileage,568,201,0.3538732394366197,12298.49,21.652271126760564,65.8,True,60.457429577464794,Medium
CUST05705,High_Mileage,449,161,0.3585746102449889,15208.53,33.872004454342985,65.8,True,60.295484409799556,Medium
CUST06073,High_Mileage,502,159,0.3167330677290836,17748.08,35.35474103585658,69.3,True,60.29057270916334,Medium
CUST03013,High_Mileage,572,201,0.3513986013986014,16223.21,28.362255244755243,65.6,True,60.28344405594406,Medium
CUST06920,High_Mileage,443,148,0.3340857787810384,14252.39,32.17243792325056,68.3,True,60.28218115124154,Medium
CUST05223,High_Mileage,441,155,0.3514739229024943,6639.91,15.056485260770977,66.6,True,60.27895691609977,Medium
CUST05568,High_Mileage,559,179,0.3202146690518783,17537.6,31.373166368515204,68.7,True,60.26233676207514,Medium
CUST04791,High_Mileage,462,162,0.3506493506493506,13407.29,29.020108225108228,66.2,True,60.21347402597402,Medium
CUST00082,High_Mileage,432,151,0.349537037037037,11770.34,27.24615740740741,66.8,True,60.20148148148148,Medium
CUST05738,High_Mileage,474,161,0.339662447257384,11178.37,23.58305907172996,67.1,True,60.19649789029536,Medium
CUST00713,High_Mileage,483,146,0.3022774327122153,16375.56,33.90385093167702,70.7,True,60.18859730848861,Medium
CUST00594,High_Mileage,471,162,0.3439490445859872,8460.08,17.96195329087049,66.7,True,60.18796178343949,Medium
CUST00910,High_Mileage,468,156,0.3333333333333333,18429.28,39.378803418803415,67.8,True,60.187083333333334,Medium
CUST00791,High_Mileage,476,170,0.3571428571428571,13668.4,28.715126050420167,65.2,True,60.15196428571429,Medium
CUST06124,High_Mileage,435,145,0.3333333333333333,12873.13,29.593402298850577,68.1,True,60.11083333333333,Medium
CUST02019,High_Mileage,426,146,0.3427230046948357,16865.23,39.58974178403756,67.3,True,60.09017018779343,Medium
CUST00987,High_Mileage,474,159,0.3354430379746835,13962.98,29.45776371308017,67.2,True,60.06772151898735,Medium
CUST01986,High_Mileage,538,178,0.3308550185873606,21709.1,40.35148698884758,67.2,True,60.06170074349443,Medium
CUST07718,High_Mileage,464,152,0.3275862068965517,11966.25,25.78933189655172,68.1,True,60.05594827586208,Medium
CUST07708,High_Mileage,487,154,0.3162217659137577,19869.83,40.80047227926078,68.9,True,60.053870636550315,Medium
CUST06258,High_Mileage,545,180,0.3302752293577982,10547.7,19.353577981651377,67.2,True,60.04600917431193,Medium
CUST02128,High_Mileage,555,182,0.3279279279279279,19111.57,34.43526126126126,67.4,True,60.04461711711712,Medium
CUST01899,High_Mileage,426,141,0.3309859154929577,14953.42,35.101924882629106,68.3,True,60.02068661971832,Medium
CUST04290,High_Mileage,482,161,0.3340248962655601,9899.15,20.53765560165975,67.1,True,60.01099585062241,Medium
CUST00405,High_Mileage,469,164,0.3496801705756929,18067.71,38.52390191897654,65.7,True,60.00470682302772,Medium
CUST06145,High_Mileage,461,155,0.3362255965292842,14153.85,30.702494577006508,67.1,True,59.99027386117137,Medium
CUST04318,High_Mileage,392,140,0.3571428571428571,5913.67,15.085892857142856,66.4,True,59.95821428571429,Medium
CUST02812,High_Mileage,441,136,0.3083900226757369,9297.68,21.083174603174605,70.1,True,59.95560090702948,Medium
CUST07033,High_Mileage,404,134,0.3316831683168317,14040.93,34.754777227722776,68.6,True,59.94607673267326,Medium
CUST02684,High_Mileage,434,136,0.3133640552995391,9180.06,21.15221198156682,69.7,True,59.93956221198157,Medium
CUST00926,High_Mileage,461,159,0.3449023861171366,11513.38,24.974793926247287,66.1,True,59.93734544468546,Medium
CUST04724,High_Mileage,472,155,0.3283898305084746,12557.34,26.604533898305085,67.6,True,59.93559322033899,Medium
CUST05229,High_Mileage,493,157,0.3184584178498986,16485.45,33.43904665314402,68.3,True,59.92833671399595,Medium
CUST03782,High_Mileage,521,163,0.3128598848368522,10825.15,20.777639155470247,68.7,True,59.9256453934741,Medium
CUST01451,High_Mileage,483,160,0.3312629399585921,10159.58,21.034327122153208,67.1,True,59.908017598343676,Medium
CUST07208,High_Mileage,390,148,0.3794871794871794,14753.36,37.82912820512821,64.1,True,59.906987179487174,Medium
CUST02347,High_Mileage,476,158,0.3319327731092437,18960.15,39.83224789915967,67.1,True,59.90356092436975,Medium
CUST03786,High_Mileage,556,178,0.3201438848920863,12420.31,22.338687050359713,67.8,True,59.89575539568345,Medium
