month,sessions,completed_sessions,energy_kwh,energy_mwh,month_name
1,84767,83315,2106358.25,2106.35825,Jan
2,87996,86461,2187374.02,2187.37402,Feb
3,91678,90083,2268698.12,2268.69812,Mar
4,90062,88439,2231165.38,2231.16538,Apr
5,92835,91208,2308883.81,2308.8838100000003,May
6,88094,86573,2190377.0300000003,2190.37703,Jun
7,83942,82407,2082489.42,2082.48942,Jul
8,85982,84497,2136547.63,2136.54763,Aug
9,91203,89694,2266038.36,2266.03836,Sep
10,94081,92395,2337823.62,2337.82362,Oct
11,95735,94069,2380306.61,2380.30661,Nov
12,100887,99131,2505825.6400000006,2505.8256400000005,Dec
