station_id,sessions,completed_sessions,energy_kwh,avg_energy_kwh,avg_duration,completion_rate,city,station_type,charger_count,avg_daily_capacity_kwh,baseline_utilization,peak_demand_factor,operational_reliability,sessions_per_charger,energy_per_charger
ST0001,10205,10024,253315.53,25.274182263596277,67.76080352768251,0.9822635962763351,Delhi NCR,Office_Commercial,9,1042.6,0.3173,1.3539,0.9647,1133.888888888889,28146.17
ST0002,10749,10561,264708.11,25.057862126709463,85.8581263373337,0.9825100009303191,Delhi NCR,Office_Commercial,10,1251.3,0.284,1.2336,0.9557,1074.9,26470.810999999998
ST0003,4505,4433,116523.39,26.267296337402886,31.24506104328524,0.9840177580466148,Delhi NCR,Fleet,8,710.71,0.2364,1.2348,0.9736,563.125,14565.42375
ST0004,8354,8216,219016.45,26.659558295427342,36.46372994972468,0.9834809672013407,Delhi NCR,Highway,12,1219.26,0.2532,0.9058,0.9621,696.1666666666666,18251.370833333334
ST0005,4692,4618,119314.79999999999,25.77975703324808,72.75255754475704,0.9842284739982949,Delhi NCR,Hotel,5,503.95,0.4361,0.9309,0.9546,938.4,23862.96
ST0006,5505,5416,139589.6,25.743852861035425,86.16948228882833,0.9838328792007266,Delhi NCR,Hotel,7,610.58,0.3532,1.0587,0.9825,786.4285714285714,19941.37142857143
ST0007,10849,10652,269619.36,25.31064153378192,59.08074476910314,0.9818416443911882,Delhi NCR,Office_Commercial,10,1090.53,0.2687,1.1988,0.9561,1084.9,26961.935999999998
ST0008,8755,8605,209633.79,24.358532267275844,80.62992575671045,0.9828669331810395,Delhi NCR,Residential,4,511.71,0.2574,1.2008,0.9667,2188.75,52408.4475
ST0009,3920,3866,101436.9,26.231928571428572,32.57423469387755,0.9862244897959184,Delhi NCR,Fleet,10,1045.35,0.3588,1.2671,0.995,392.0,10143.689999999999
ST0010,7961,7773,197137.13,25.36695641251099,72.3459364401457,0.9763848762718251,Delhi NCR,Mall_Retail,9,840.14,0.3649,1.0208,0.938,884.5555555555555,21904.125555555554
ST0011,5676,5572,144123.93000000002,25.855461592670895,86.00281888653981,0.981677237491191,Delhi NCR,Hotel,8,970.52,0.3151,0.901,0.9679,709.5,18015.491250000003
ST0012,7470,7308,194878.77000000002,26.648227576974566,35.9053547523427,0.9783132530120482,Delhi NCR,Highway,10,854.29,0.3494,0.8873,0.9545,747.0,19487.877
ST0013,8606,8464,214355.47999999998,25.33359749012317,59.53276783639321,0.9834998838019986,Delhi NCR,Mall_Retail,10,853.87,0.3368,1.2414,0.972,860.6,21435.548
ST0014,8113,7980,194851.65,24.418815481326266,57.87649451497597,0.9836065573770492,Delhi NCR,Residential,8,861.94,0.31,1.0552,0.9555,1014.125,24356.45625
ST0015,4115,4029,105360.62,26.16735844471446,31.47314702308627,0.9791008505467801,Delhi NCR,Fleet,11,1404.09,0.2907,1.2671,0.9565,374.09090909090907,9578.238181818182
ST0016,8259,8136,204640.45,25.14381038866691,44.06223513742584,0.9851071558300036,Delhi NCR,Mall_Retail,8,1014.42,0.3631,1.0875,0.9694,1032.375,25580.05625
